publishedAt	name	uuid	shortUUID	duration	channel	account	url	sources
2024-12-17T06:02:16.805Z	18. zasedání zastupitelstva města České Budějovice (9. volební období) 2. část	11198266-d588-42fd-b96f-2cfe2b1b0ae5	37tdfaSfeR2Gr2f11K6A8g	11579	České Budějovice	Jan Hošek	https://tv.pirati.cz/videos/watch/11198266-d588-42fd-b96f-2cfe2b1b0ae5	local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05
2024-12-16T20:25:57.492Z	18. zasedání zastupitelstva města České Budějovice (9. volební období) 1. část	d16156fd-70b0-44a3-9d8c-3a89c616a61c	rRALJDSS1xDnGnbV26gCDA	12742	České Budějovice	Jan Hošek	https://tv.pirati.cz/videos/watch/d16156fd-70b0-44a3-9d8c-3a89c616a61c	local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05
2024-11-19T12:54:01.032Z	16. zasedání zastupitelstva města České Budějovice (9. volební období)	ef43be4a-0a2e-467b-b6da-a29f4143550d	vxCM8w4kgbr3Yu4BwsqmAH	10645	České Budějovice	Jan Hošek	https://tv.pirati.cz/videos/watch/ef43be4a-0a2e-467b-b6da-a29f4143550d	local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05
2024-11-18T12:56:26.788Z	17. zasedání zastupitelstva města České Budějovice (9. volební období)	953c77b2-5fc2-429a-ba57-e9017388db10	jqQSQvfBQuArQESQMU9sYq	8925	České Budějovice	Jan Hošek	https://tv.pirati.cz/videos/watch/953c77b2-5fc2-429a-ba57-e9017388db10	local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05
2024-11-07T17:48:43.076Z	Mimořádné zasedání zastupitelstva města Kadaně - 6.11.2024	09f34430-d077-4c19-b932-41005e402f19	2egmcxfuaLggVdcyZ1EhYr	4049	Kadaňský pirát	Pavel Miltner	https://tv.pirati.cz/videos/watch/09f34430-d077-4c19-b932-41005e402f19	channel_handle,account,local_search_01,sepia_search_01,local_search_02,sepia_search_02,local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05,local_search_06,sepia_search_06,local_search_07,sepia_search_07
2024-11-07T16:44:42.279Z	8. zasedání zastupitelstva města Kadaň 12.9.2024	673e75fd-5545-4531-836d-c84a520d9396	dKrEpv2mLVXxtvyd5uHfZd	5262	Kadaňský pirát	Pavel Miltner	https://tv.pirati.cz/videos/watch/673e75fd-5545-4531-836d-c84a520d9396	channel_handle,account,local_search_01,sepia_search_01,local_search_02,sepia_search_02,local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05,local_search_06,sepia_search_06,local_search_07,sepia_search_07
2024-09-16T13:14:57.958Z	15. zasedání zastupitelstva města České Budějovice (9. volební období)	d35598c1-adf9-40e7-a400-89a8f3a12244	s6Aw4LotueHEhu2oqXbotf	9480	České Budějovice	Jan Hošek	https://tv.pirati.cz/videos/watch/d35598c1-adf9-40e7-a400-89a8f3a12244	local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05
2024-06-13T16:50:33.741Z	7. zasedání zastupitelstva města Kadaň 13.6.2024	673cc2f1-d2bc-4c4a-a314-638306e4de34	dKoUt8Tv2yzRmC8gLeqP2f	6332	Kadaňský pirát	Pavel Miltner	https://tv.pirati.cz/videos/watch/673cc2f1-d2bc-4c4a-a314-638306e4de34	channel_handle,account,local_search_01,sepia_search_01,local_search_02,sepia_search_02,local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05,local_search_06,sepia_search_06,local_search_07,sepia_search_07
2024-04-18T16:15:27.461Z	Mimoradne zasedani zastupitelstva 18.4.2024	8b124785-f314-4477-a9ac-32305c0a19ef	ib3pHahtaG5g9rcGtRNPcV	909	Kadaňský pirát	Pavel Miltner	https://tv.pirati.cz/videos/watch/8b124785-f314-4477-a9ac-32305c0a19ef	channel_handle,account,sepia_search_01,sepia_search_02,local_search_03,sepia_search_03,local_search_04,sepia_search_04,local_search_05,sepia_search_05,local_search_07
2024-04-08T12:46:46.811Z	6. Zasedání ZM kadaň - Padrta	d58c02ce-d6a0-435c-855c-1457c4cba0c5	snrBKq1niWWnSAQhBap1vK	443	Kadaňský pirát	Pavel Miltner	https://tv.pirati.cz/videos/watch/d58c02ce-d6a0-435c-855c-1457c4cba0c5	channel_handle,account,local_search_01,sepia_search_01,local_search_02,sepia_search_02,local_search_04,sepia_search_04,local_search_06,sepia_search_06,local_search_07,sepia_search_07
