size=2112x1188 tile=192x108 count=121
index=000 approx_sec=0000 mean_diff=0.000 rms=0.000
index=001 approx_sec=0034 mean_diff=13.795 rms=37.692
index=002 approx_sec=0068 mean_diff=10.883 rms=30.928
index=003 approx_sec=0102 mean_diff=10.629 rms=30.364
index=004 approx_sec=0136 mean_diff=11.781 rms=32.509
index=005 approx_sec=0170 mean_diff=10.960 rms=30.789
index=006 approx_sec=0204 mean_diff=11.841 rms=32.171
index=007 approx_sec=0238 mean_diff=19.272 rms=42.613
index=008 approx_sec=0272 mean_diff=18.533 rms=42.101
index=009 approx_sec=0306 mean_diff=18.711 rms=42.281
index=010 approx_sec=0340 mean_diff=19.914 rms=43.772
index=011 approx_sec=0374 mean_diff=18.885 rms=41.759
index=012 approx_sec=0408 mean_diff=26.544 rms=54.677
index=013 approx_sec=0442 mean_diff=42.275 rms=66.844
index=014 approx_sec=0476 mean_diff=42.500 rms=67.040
index=015 approx_sec=0510 mean_diff=42.506 rms=67.125
index=016 approx_sec=0544 mean_diff=42.567 rms=67.174
index=017 approx_sec=0578 mean_diff=42.587 rms=67.178
index=018 approx_sec=0612 mean_diff=42.580 rms=67.190
index=019 approx_sec=0646 mean_diff=42.802 rms=67.483
index=020 approx_sec=0680 mean_diff=42.779 rms=67.592
index=021 approx_sec=0714 mean_diff=42.653 rms=67.337
index=022 approx_sec=0748 mean_diff=42.519 rms=67.255
index=023 approx_sec=0782 mean_diff=42.503 rms=67.208
index=024 approx_sec=0816 mean_diff=42.590 rms=67.428
index=025 approx_sec=0850 mean_diff=42.571 rms=67.244
index=026 approx_sec=0884 mean_diff=42.376 rms=67.110
index=027 approx_sec=0918 mean_diff=27.527 rms=52.429
index=028 approx_sec=0952 mean_diff=27.395 rms=52.219
index=029 approx_sec=0986 mean_diff=31.091 rms=57.938
index=030 approx_sec=1020 mean_diff=43.292 rms=69.442
index=031 approx_sec=1054 mean_diff=43.487 rms=69.762
index=032 approx_sec=1088 mean_diff=43.123 rms=69.368
index=033 approx_sec=1122 mean_diff=43.338 rms=69.500
index=034 approx_sec=1156 mean_diff=43.366 rms=69.522
index=035 approx_sec=1190 mean_diff=43.251 rms=69.407
index=036 approx_sec=1224 mean_diff=45.861 rms=70.255
index=037 approx_sec=1258 mean_diff=45.735 rms=70.150
index=038 approx_sec=1292 mean_diff=46.214 rms=70.642
index=039 approx_sec=1326 mean_diff=46.362 rms=70.996
index=040 approx_sec=1360 mean_diff=27.599 rms=52.462
index=041 approx_sec=1394 mean_diff=27.543 rms=52.375
index=042 approx_sec=1428 mean_diff=27.728 rms=52.528
index=043 approx_sec=1462 mean_diff=27.570 rms=52.485
index=044 approx_sec=1496 mean_diff=74.064 rms=101.278
index=045 approx_sec=1530 mean_diff=45.990 rms=70.606
index=046 approx_sec=1564 mean_diff=46.120 rms=70.773
index=047 approx_sec=1598 mean_diff=46.682 rms=71.448
index=048 approx_sec=1632 mean_diff=46.941 rms=71.686
index=049 approx_sec=1666 mean_diff=42.655 rms=68.729
index=050 approx_sec=1700 mean_diff=45.783 rms=70.235
index=051 approx_sec=1734 mean_diff=46.270 rms=70.953
index=052 approx_sec=1768 mean_diff=46.102 rms=70.721
index=053 approx_sec=1802 mean_diff=46.148 rms=70.574
index=054 approx_sec=1836 mean_diff=46.080 rms=70.594
index=055 approx_sec=1870 mean_diff=46.362 rms=70.949
index=056 approx_sec=1904 mean_diff=46.353 rms=70.760
index=057 approx_sec=1938 mean_diff=45.693 rms=70.147
index=058 approx_sec=1972 mean_diff=27.946 rms=52.951
index=059 approx_sec=2006 mean_diff=27.742 rms=52.493
index=060 approx_sec=2040 mean_diff=46.572 rms=71.075
index=061 approx_sec=2074 mean_diff=46.606 rms=71.133
index=062 approx_sec=2108 mean_diff=46.470 rms=71.038
index=063 approx_sec=2142 mean_diff=45.854 rms=70.456
index=064 approx_sec=2176 mean_diff=45.909 rms=70.628
index=065 approx_sec=2210 mean_diff=45.990 rms=70.636
index=066 approx_sec=2244 mean_diff=27.464 rms=52.478
index=067 approx_sec=2278 mean_diff=74.210 rms=101.563
index=068 approx_sec=2312 mean_diff=43.096 rms=69.349
index=069 approx_sec=2346 mean_diff=42.922 rms=69.153
index=070 approx_sec=2380 mean_diff=43.069 rms=69.377
index=071 approx_sec=2414 mean_diff=43.120 rms=69.408
index=072 approx_sec=2448 mean_diff=43.185 rms=69.480
index=073 approx_sec=2482 mean_diff=45.981 rms=70.607
index=074 approx_sec=2516 mean_diff=45.774 rms=70.336
index=075 approx_sec=2550 mean_diff=45.459 rms=69.969
index=076 approx_sec=2584 mean_diff=43.246 rms=69.491
index=077 approx_sec=2618 mean_diff=46.611 rms=71.660
index=078 approx_sec=2652 mean_diff=27.906 rms=52.431
index=079 approx_sec=2686 mean_diff=45.407 rms=69.992
